,station,short_model,model,runtime,ftime,N/X,TMP,DPT,CLD,WDR,WSP,P06,P12,Q06,Q12,T06,T12,POZ,POS,TYP,SNW,CIG,VIS,OBV
0,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-02 00:00:00,,17.0,7.0,BK,34.0,4.0,,,,,,,1.0,97.0,S,,8.0,7.0,N
1,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-02 03:00:00,,16.0,7.0,BK,27.0,3.0,,,,,,,0.0,100.0,S,,8.0,7.0,N
2,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-02 06:00:00,,15.0,7.0,OV,25.0,5.0,0.0,,0,,0/ 0,,0.0,100.0,S,,7.0,7.0,N
3,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-02 09:00:00,,15.0,7.0,OV,23.0,6.0,,,,,,,0.0,100.0,S,,7.0,7.0,N
4,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-02 12:00:00,11.0,15.0,6.0,CL,22.0,8.0,0.0,3.0,0,0,0/ 0,,0.0,100.0,S,,8.0,7.0,N
5,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-02 15:00:00,,17.0,7.0,CL,22.0,10.0,,,,,,,1.0,99.0,S,,8.0,7.0,N
6,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-02 18:00:00,,27.0,11.0,CL,23.0,12.0,2.0,,0,,0/ 0,0/ 4,1.0,99.0,S,,8.0,7.0,N
7,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-02 21:00:00,,31.0,13.0,CL,24.0,14.0,,,,,,,0.0,100.0,S,,8.0,7.0,N
8,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-03 00:00:00,32.0,28.0,14.0,CL,25.0,9.0,0.0,2.0,0,0,0/ 0,,0.0,100.0,S,,8.0,7.0,N
9,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-03 03:00:00,,27.0,15.0,CL,27.0,8.0,,,,,,,2.0,98.0,S,,8.0,7.0,N
10,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-03 06:00:00,,26.0,16.0,CL,27.0,6.0,1.0,,0,,0/ 0,1/ 1,3.0,97.0,S,,8.0,7.0,N
11,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-03 09:00:00,,25.0,17.0,CL,26.0,5.0,,,,,,,2.0,98.0,S,,8.0,7.0,N
12,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-03 12:00:00,22.0,26.0,18.0,CL,24.0,3.0,0.0,1.0,0,0,0/ 0,,3.0,95.0,S,0.0,8.0,7.0,N
13,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-03 15:00:00,,28.0,20.0,CL,21.0,7.0,,,,,,,7.0,88.0,S,,8.0,7.0,N
14,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-03 18:00:00,,35.0,23.0,FW,24.0,8.0,0.0,,0,,0/ 0,0/ 3,7.0,70.0,S,,8.0,7.0,N
15,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-03 21:00:00,,39.0,24.0,SC,23.0,9.0,,,,,,,5.0,51.0,S,,8.0,7.0,N
16,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-04 00:00:00,40.0,36.0,25.0,FW,21.0,6.0,0.0,0.0,0,0,0/ 0,,6.0,50.0,S,,8.0,7.0,N
17,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-04 03:00:00,,34.0,25.0,CL,22.0,7.0,,,,,,,10.0,53.0,S,,8.0,7.0,N
18,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-04 06:00:00,,33.0,25.0,CL,24.0,6.0,2.0,,0,,0/ 0,0/ 0,8.0,54.0,S,,8.0,7.0,N
19,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-04 12:00:00,29.0,32.0,25.0,CL,24.0,5.0,1.0,2.0,0,0,,,8.0,47.0,S,0.0,8.0,7.0,N
20,KDSM,GFS,GFS MOS GUIDANCE,2019-01-01 18:00:00+00:00,2019-01-04 18:00:00,,44.0,29.0,FW,27.0,8.0,2.0,,0,,0/ 0,0/ 4,2.0,49.0,S,,8.0,7.0,N
